[INFO ] 2019-10-06T07:22:13,058Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,058Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.ReportingBasePlugin to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,058Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,058Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.language.base.plugins.LanguageBasePlugin to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,058Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.platform.base.plugins.ComponentBasePlugin to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,058Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.language.base.plugins.LanguageBasePlugin to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,058Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,058Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.platform.base.plugins.BinaryBasePlugin to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,059Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,059Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.java to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,069Z [Connection worker] internal.TestCordappImpl.statusChanged - Cross-configure project :workflows {}
[INFO ] 2019-10-06T07:22:13,069Z [Connection worker] internal.TestCordappImpl.statusChanged - Execute 'allprojects {}' action {}
[INFO ] 2019-10-06T07:22:13,069Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:13,080Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin net.corda.plugins.cordapp to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:13,125Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:13,137Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin net.corda.plugins.cordformation to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:13,137Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:13,137Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin net.corda.plugins.quasar-utils to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:13,227Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to root project 'bfn-corda' {}
[INFO ] 2019-10-06T07:22:13,422Z [Connection worker] internal.TestCordappImpl.statusChanged - Configuring root project {}
[INFO ] 2019-10-06T07:22:13,422Z [Connection worker] internal.TestCordappImpl.statusChanged - Configure project : {}
[INFO ] 2019-10-06T07:22:13,423Z [Connection worker] internal.TestCordappImpl.statusChanged - Configuring projects {}
[INFO ] 2019-10-06T07:22:13,423Z [Connection worker] internal.TestCordappImpl.statusChanged - Configure project :clients {}
[INFO ] 2019-10-06T07:22:13,423Z [Connection worker] internal.TestCordappImpl.statusChanged - Configuring :clients {}
[INFO ] 2019-10-06T07:22:13,423Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.help-tasks to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,423Z [Connection worker] internal.TestCordappImpl.statusChanged - Configuring :clients {}
[INFO ] 2019-10-06T07:22:13,423Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,446Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.springframework.boot to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,481Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,481Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin io.spring.dependency-management to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,504Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,538Z [Connection worker] internal.TestCordappImpl.statusChanged - Configuring :clients {}
[INFO ] 2019-10-06T07:22:13,539Z [Connection worker] internal.TestCordappImpl.statusChanged - Configure project :clients {}
[INFO ] 2019-10-06T07:22:13,539Z [Connection worker] internal.TestCordappImpl.statusChanged - Configuring projects {}
[INFO ] 2019-10-06T07:22:13,539Z [Connection worker] internal.TestCordappImpl.statusChanged - Configure project :contracts {}
[INFO ] 2019-10-06T07:22:13,539Z [Connection worker] internal.TestCordappImpl.statusChanged - Configuring :contracts {}
[INFO ] 2019-10-06T07:22:13,539Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.help-tasks to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,539Z [Connection worker] internal.TestCordappImpl.statusChanged - Configuring :contracts {}
[INFO ] 2019-10-06T07:22:13,539Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,549Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin net.corda.plugins.cordapp to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,549Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,550Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin net.corda.plugins.cordformation to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,550Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,573Z [Connection worker] internal.TestCordappImpl.statusChanged - Configuring :contracts {}
[INFO ] 2019-10-06T07:22:13,573Z [Connection worker] internal.TestCordappImpl.statusChanged - Configure project :contracts {}
[INFO ] 2019-10-06T07:22:13,573Z [Connection worker] internal.TestCordappImpl.statusChanged - Configuring projects {}
[INFO ] 2019-10-06T07:22:13,574Z [Connection worker] internal.TestCordappImpl.statusChanged - Configure project :workflows {}
[INFO ] 2019-10-06T07:22:13,574Z [Connection worker] internal.TestCordappImpl.statusChanged - Configuring :workflows {}
[INFO ] 2019-10-06T07:22:13,574Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.help-tasks to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,574Z [Connection worker] internal.TestCordappImpl.statusChanged - Configuring :workflows {}
[INFO ] 2019-10-06T07:22:13,574Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,619Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin net.corda.plugins.cordapp to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,619Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,619Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin net.corda.plugins.cordformation to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,619Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,619Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin net.corda.plugins.quasar-utils to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,619Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply script build.gradle to project ':workflows' {}
